# Czech aspect: lemma <TAB> impf|pf <TAB> counterpart lemmas (comma-separated, may be empty)
akcelerovat	impf	
apelovat	impf	
argumentovat	impf	
asistovat	impf	
atrofovat	impf	
automatizovat	impf	zautomatizovat
babrat	impf	
bacit	pf	
bafat	impf	bafnout
bafnout	pf	bafat
bagatelizovat	impf	
bagrovat	impf	
balamutit	impf	obalamutit
balancovat	impf	
balit	impf	sbalit,zabalit
balzamovat	impf	
banalizovat	impf	
bančit	impf	
barvit	impf	obarvit,zbarvit,zabarvit
batolit	impf	
bavit	impf	pobavit
bavívat	impf	
bazírovat	impf	
bazírovati	impf	
baštit	impf	zbaštit
bažit	impf	
bdít	impf	
bejt	impf	
belhat	impf	
besedovat	impf	
betonovat	impf	
bečet	impf	
bičovat	impf	zbičovat
biřmovat	impf	
blafovat	impf	
blahopřát	impf	poblahopřát
blahořečit	impf	
blbnout	impf	zblbnout
blednout	impf	zblednout
blikat	impf	bliknout
bliknout	pf	
blinkat	impf	
blogovat	impf	
blokovat	impf	zablokovat
bloudit	impf	zabloudit
bloumat	impf	
bláznit	impf	zbláznit
blít	impf	
blížit	impf	
blýskat	impf	blýsknout
bobtnat	impf	nabobtnat
bodat	impf	bodnout
bodnout	pf	bodat
bodovat	impf	
bohatnout	impf	zbohatnout
bojkotovat	impf	
bojovat	impf	
bolet	impf	
bolívat	impf	
bombardovat	impf	vybombardovat
bonzovat	impf	bonznout
botanizovat	impf	
bouchat	impf	
bouchnout	pf	bouchat
bourat	impf	zbourat
bouřit	impf	vzbouřit
boxovat	impf	
bořit	impf	zbořit
bratřit	impf	
brblat	impf	zabrblat
brebentit	impf	
breptat	impf	vybreptat
brečet	impf	
brkat	impf	brknout
brnkat	impf	brnknout
brnknout	pf	brnkat
brnět	impf	
brodit	impf	přebrodit
brojit	impf	
broukat	impf	
brousit	impf	obrousit
brouzdat	impf	
brumlat	impf	
bruslit	impf	
bručet	impf	zabručet
brzdit	impf	zabrzdit
bránit	impf	ubránit
brát	impf	vzít
brázdit	impf	
bublat	impf	
bubnovat	impf	
budit	impf	probudit,vzbudit
budovat	impf	
bujet	impf	
bulet	impf	
bulit	impf	
bumbat	impf	
buzerovat	impf	
bučet	impf	
bučívat	impf	
bušit	impf	zabušit
bydlet	impf	
bydlit	impf	
bydlánkovat	impf	
