# lemma	class (a-ez a-bare ea e i-esc i-bare ih-asc ih-bare)
abate	e
abdica	a-bare
abjura	a-bare
abroga	a-ez
absorbi	i-bare
abstrage	e
abunda	a-bare
aburca	a-bare
accede	e
acetifica	a-bare
achita	a-bare
acidifica	a-bare
acira	a-bare
aciăra	a-bare
aclama	a-bare
acufunda	a-bare
aculma	a-bare
acurge	e
acuza	a-bare
acăța	a-bare
acățăra	a-ez
adaoge	e
adevăra	a-ez
adinta	a-bare
adjura	a-bare
admira	a-bare
admite	e
admonia	a-ez
adormi	i-bare
adsorbi	i-bare
adulma	a-bare
adulmaca	a-bare
adulmăca	a-bare
aduna	a-bare
adurmăca	a-bare
adăoga	a-ez
adăogi	i-esc
adăugi	i-esc
afige	e
afirma	a-bare
afuma	a-bare
afunda	a-bare
agita	a-bare
agâmba	a-bare
ajunge	e
ajuta	a-bare
alege	e
alenzui	i-esc
alina	a-bare
alinta	a-bare
alunga	a-bare
alătura	a-bare
ambarca	a-bare
amelința	a-bare
amenința	a-bare
amenița	a-bare
amerința	a-bare
amirosi	i-bare
amplifica	a-bare
amușina	a-bare
amuța	a-bare
amâna	a-bare
amânunța	a-bare
anina	a-bare
antepronunța	a-bare
anunța	a-bare
apica	a-bare
apitui	i-esc
aplauda	a-bare
aplica	a-bare
aprinde	e
aprumuta	a-bare
apuca	a-bare
apupa	a-bare
ara	a-bare
ardica	a-bare
aridica	a-bare
arpegia	a-ez
arunca	a-bare
asculta	a-bare
ascunde	e
asigura	a-bare
asista	a-bare
asmuța	a-bare
aspira	a-bare
astruca	a-bare
astupa	a-bare
astăura	a-bare
asuda	a-bare
asuma	a-bare
ataca	a-bare
atinge	e
atrage	e
atârna	a-bare
ausculta	a-bare
autentifica	a-bare
autoacuza	a-bare
autoadmira	a-bare
autoafirma	a-bare
autoaprinde	e
autocritica	a-bare
autodeclara	a-bare
autodenunța	a-bare
autodetermina	a-bare
autodistruge	e
autodomina	a-bare
autoeduca	a-bare
autoexcita	a-bare
autoimita	a-bare
automistifica	a-bare
autoproclama	a-bare
autorepara	a-bare
autoverifica	a-bare
avânta	a-bare
ațița	a-bare
ațânta	a-bare
ațâța	a-bare
balsamui	i-esc
bate	e
beatifica	a-bare
bedui	i-esc
beregăna	a-bare
bezaconui	i-esc
beșica	a-bare
bifurca	a-bare
bigui	i-esc
binemerita	a-bare
bineînțelege	e
birșăgălui	i-esc
blestăma	a-bare
blăstăma	a-ez
bolbura	a-bare
bonifica	a-bare
bucina	a-bare
bucura	a-bare
bulbuca	a-bare
bulbura	a-bare
bumbura	a-bare
burica	a-bare
bursuca	a-bare
busurca	a-bare
buzoia	a-ez
bârliga	a-bare
bârâca	a-bare
bâzdura	a-bare
bâzdăra	a-bare
băia	a-ez
bălega	a-ez
băliga	a-ez
bărica	a-bare
băsmui	i-esc
bășica	a-bare
calcifica	a-bare
califica	a-bare
carica	a-bare
caustifica	a-bare
cersăla	a-bare
certifica	a-bare
cesăla	a-bare
cetăra	a-bare
chilifica	a-bare
cinefica	a-bare
cinge	e
circula	a-bare
circumcide	e
ciuca	a-bare
ciuflica	a-bare
ciurcura	a-bare
ciurlica	a-bare
ciutrica	a-bare
clarifica	a-bare
clasifica	a-bare
cletina	a-bare
cocsifica	a-bare
codifica	a-bare
coexista	a-bare
coincide	e
colinda	a-bare
comanda	a-bare
combate	e
combina	a-bare
comite	e
compara	a-bare
complexifica	a-bare
complica	a-bare
complânge	e
comprima	a-bare
compromite	e
comunica	a-bare
comuta	a-bare
comânda	a-bare
conchide	e
conclude	e
concurge	e
condamna	a-bare
condescinde	e
conduce	e
conferi	i-bare
confirma	a-bare
confrunta	a-bare
confunda	a-bare
congedia	a-ez
conjuga	a-bare
conjura	a-bare
conrupe	e
consista	a-bare
conspira	a-bare
constata	a-bare
constipa	a-bare
constrânge	e
consulta	a-bare
consuma	a-bare
consuna	a-bare
contraataca	a-bare
contraface	e
contrage	e
contraindica	a-bare
contrazice	e
conturba	a-bare
converge	e
convinge	e
convoca	a-bare
coparticipa	a-bare
coprinde	e
corespunde	e
cornifica	a-bare
corumpe	e
corupe	e
