# Oracle disagreements for Hindi (kaikki ∩ UniMorph).
#
# Every row here is one systematic UniMorph hin defect: for a subset
# of lemmas it forms the perfective participle and the vowel-initial
# subjunctive/imperative endings with an independent vowel spliced
# onto the consonant stem (बनऊं, बनया, बनइए) instead of the matra the
# grammar requires (बनूं, बना, बनिए). kaikki.org spells them
# correctly, so every disagreement is ruled o1 (first oracle = kaikki).
# The engine follows kaikki.
#
# lemma	features	resolution	o1(kaikki)	o2(unimorph)
अंगारा बनना	V;1;PL;PRF;LGSPEC3;FEM	o1	अंगारा बनी होंगी	अंगारा बनई होंगी
अंगारा बनना	V;1;PL;PRF;LGSPEC3;MASC	o1	अंगारा बने होंगे	अंगारा बनए होंगे
अंगारा बनना	V;1;PL;PRF;LGSPEC4;FEM	o1	अंगारा बनी होती	अंगारा बनई होती
अंगारा बनना	V;1;PL;PRF;LGSPEC4;MASC	o1	अंगारा बने होते	अंगारा बनए होते
अंगारा बनना	V;1;PL;PRF;PRS;FEM	o1	अंगारा बनी हैं	अंगारा बनई हैं
अंगारा बनना	V;1;PL;PRF;PRS;MASC	o1	अंगारा बने हैं	अंगारा बनए हैं
अंगारा बनना	V;1;PL;PRF;PST;FEM	o1	अंगारा बनी थी	अंगारा बनई थी
अंगारा बनना	V;1;PL;PRF;PST;MASC	o1	अंगारा बने थे	अंगारा बनए थे
अंगारा बनना	V;1;PL;PRF;SBJV;FEM	o1	अंगारा बनी हों	अंगारा बनई हों
अंगारा बनना	V;1;PL;PRF;SBJV;MASC	o1	अंगारा बने हों	अंगारा बनए हों
अंगारा बनना	V;1;PL;SBJV	o1	अंगारा बनें	अंगारा बनएं
अंगारा बनना	V;1;PL;SBJV;FEM	o1	अंगारा बनेंगी	अंगारा बनएंगी
अंगारा बनना	V;1;PL;SBJV;MASC	o1	अंगारा बनेंगे	अंगारा बनएंगे
अंगारा बनना	V;1;SG;PRF;LGSPEC3;FEM	o1	अंगारा बनी हूंगी	अंगारा बनई हूंगी
अंगारा बनना	V;1;SG;PRF;LGSPEC3;MASC	o1	अंगारा बना हूंगा	अंगारा बनया हूंगा
अंगारा बनना	V;1;SG;PRF;LGSPEC4;FEM	o1	अंगारा बनी होती	अंगारा बनई होती
अंगारा बनना	V;1;SG;PRF;LGSPEC4;MASC	o1	अंगारा बना होता	अंगारा बनया होता
अंगारा बनना	V;1;SG;PRF;PRS;FEM	o1	अंगारा बनी हूं	अंगारा बनई हूं
अंगारा बनना	V;1;SG;PRF;PRS;MASC	o1	अंगारा बना हूं	अंगारा बनया हूं
अंगारा बनना	V;1;SG;PRF;PST;FEM	o1	अंगारा बनी थी	अंगारा बनई थी
अंगारा बनना	V;1;SG;PRF;PST;MASC	o1	अंगारा बना था	अंगारा बनया था
अंगारा बनना	V;1;SG;PRF;SBJV;FEM	o1	अंगारा बनी हूं	अंगारा बनई हूं
अंगारा बनना	V;1;SG;PRF;SBJV;MASC	o1	अंगारा बना हूं	अंगारा बनया हूं
अंगारा बनना	V;1;SG;SBJV	o1	अंगारा बनूं	अंगारा बनऊं
अंगारा बनना	V;1;SG;SBJV;FEM	o1	अंगारा बनूंगी	अंगारा बनऊंगी
अंगारा बनना	V;1;SG;SBJV;MASC	o1	अंगारा बनूंगा	अंगारा बनऊंगा
अंगारा बनना	V;2;PL;IMP;FORM	o1	अंगारा बनिए	अंगारा बनइए
अंगारा बनना	V;2;PL;PRF;LGSPEC3;FEM	o1	अंगारा बनी होगी	अंगारा बनई होगी
अंगारा बनना	V;2;PL;PRF;LGSPEC3;MASC	o1	अंगारा बने होगे	अंगारा बनए होगे
अंगारा बनना	V;2;PL;PRF;LGSPEC4;MASC	o1	अंगारा बने होते	अंगारा बनए होते
अंगारा बनना	V;2;PL;PRF;PRS;FEM	o1	अंगारा बनी हो	अंगारा बनई हो
अंगारा बनना	V;2;PL;PRF;PRS;MASC	o1	अंगारा बने हो	अंगारा बनए हो
अंगारा बनना	V;2;PL;PRF;PST;MASC	o1	अंगारा बने थे	अंगारा बनए थे
अंगारा बनना	V;2;PL;PRF;SBJV;FEM	o1	अंगारा बनी हो	अंगारा बनई हो
अंगारा बनना	V;2;PL;PRF;SBJV;MASC	o1	अंगारा बने हो	अंगारा बनए हो
अंगारा बनना	V;2;PL;SBJV	o1	अंगारा बनो	अंगारा बनओ
अंगारा बनना	V;2;PL;SBJV;FEM	o1	अंगारा बनोगी	अंगारा बनओगी
अंगारा बनना	V;2;PL;SBJV;MASC	o1	अंगारा बनोगे	अंगारा बनओगे
अंगारा बनना	V;2;SG;IMP;FORM	o1	अंगारा बनो	अंगारा बनओ
अंगारा बनना	V;2;SG;PRF;LGSPEC3;FEM	o1	अंगारा बनी होगी	अंगारा बनई होगी
अंगारा बनना	V;2;SG;PRF;LGSPEC3;MASC	o1	अंगारा बना होगा	अंगारा बनया होगा
अंगारा बनना	V;2;SG;PRF;LGSPEC4;FEM	o1	अंगारा बनी होती	अंगारा बनई होती
अंगारा बनना	V;2;SG;PRF;LGSPEC4;MASC	o1	अंगारा बना होता	अंगारा बनया होता
अंगारा बनना	V;2;SG;PRF;PRS;FEM	o1	अंगारा बनी है	अंगारा बनई है
अंगारा बनना	V;2;SG;PRF;PRS;MASC	o1	अंगारा बना है	अंगारा बनया है
अंगारा बनना	V;2;SG;PRF;PST;FEM	o1	अंगारा बनी थी	अंगारा बनई थी
अंगारा बनना	V;2;SG;PRF;PST;MASC	o1	अंगारा बना था	अंगारा बनया था
अंगारा बनना	V;2;SG;PRF;SBJV;FEM	o1	अंगारा बनी हो	अंगारा बनई हो
अंगारा बनना	V;2;SG;PRF;SBJV;MASC	o1	अंगारा बना हो	अंगारा बनया हो
अंगारा बनना	V;2;SG;SBJV	o1	अंगारा बने	अंगारा बनए
अंगारा बनना	V;2;SG;SBJV;FEM	o1	अंगारा बनेगी	अंगारा बनएगी
अंगारा बनना	V;2;SG;SBJV;MASC	o1	अंगारा बनेगा	अंगारा बनएगा
अंगारा बनना	V;3;PL;PRF;LGSPEC3;FEM	o1	अंगारा बनी होंगी	अंगारा बनई होंगी
अंगारा बनना	V;3;PL;PRF;LGSPEC3;MASC	o1	अंगारा बने होंगे	अंगारा बनए होंगे
