# lemma	features	form
# Mined weak-root residue: cells the rules do not reach (doubly-weak
# and hamza-hollow roots). Regenerate with scripts/ara/mine_overrides.py.
آثر	V;1;ACT;IND;IPFV;SG	أُوثِرُ
آثر	V;1;ACT;JUS;SG	أُوثِرْ
آثر	V;1;ACT;SBJV;SG	أُوثِرَ
آثر	V;1;IND;IPFV;PASS;SG	أُوثَرُ
آثر	V;1;JUS;PASS;SG	أُوثَرْ
آثر	V;1;PASS;SBJV;SG	أُوثَرَ
آثر	V;2;ACT;FEM;IMP;PL	آثِرْنَ
آثر	V;2;ACT;FEM;IMP;SG	آثِرِي
آثر	V;2;ACT;IMP;MASC;SG	آثِرْ
آض	V;1;ACT;IND;PL;PRF;PST	إِضْنَا
آض	V;1;ACT;IND;PRF;PST;SG	إِضْتُ
آض	V;2;ACT;FEM;IMP;PL	إِضْنَ
آض	V;2;ACT;FEM;IMP;SG	إِيضِي
آض	V;2;ACT;FEM;IND;PL;PRF;PST	إِضْتُنَّ
آض	V;2;ACT;FEM;IND;PRF;PST;SG	إِضْتِ
آض	V;2;ACT;IMP;MASC;SG	إِضْ
آض	V;2;ACT;IND;MASC;PL;PRF;PST	إِضْتُمْ
آض	V;2;ACT;IND;MASC;PRF;PST;SG	إِضْتَ
آض	V;3;ACT;FEM;IND;PL;PRF;PST	إِضْنَ
أبى	V;1;IND;IPFV;PASS;SG	أُؤَبَّى
أبى	V;1;JUS;PASS;SG	أُؤَبَّ
أبى	V;1;PASS;SBJV;SG	أُؤَبَّى
أشع	V;2;ACT;FEM;IMP;PL	أَشْعِعْنَ
أشع	V;2;ACT;FEM;IMP;SG	أَشِعِّي
أشع	V;2;ACT;IMP;MASC;SG	أَشِعَّ
أضاء	V;1;ACT;IND;PL;PRF;PST	أَضَأْنَا
أضاء	V;1;ACT;IND;PRF;PST;SG	أَضَأْتُ
أضاء	V;1;ACT;JUS;PL	نُضِئْ
أضاء	V;1;ACT;JUS;SG	أُضِئْ
أضاء	V;1;IND;PASS;PL;PRF;PST	أُضِئْنَا
أضاء	V;1;IND;PASS;PRF;PST;SG	أُضِئْتُ
أضاء	V;1;JUS;PASS;PL	نُضَأْ
أضاء	V;1;JUS;PASS;SG	أُضَأْ
أضاء	V;2;ACT;FEM;IMP;PL	أَضِئْنَ
أضاء	V;2;ACT;FEM;IMP;SG	أَضِيئِي
أضاء	V;2;ACT;FEM;IND;IPFV;PL	تُضِئْنَ
أضاء	V;2;ACT;FEM;IND;IPFV;SG	تُضِيئِينَ
أضاء	V;2;ACT;FEM;IND;PL;PRF;PST	أَضَأْتُنَّ
أضاء	V;2;ACT;FEM;IND;PRF;PST;SG	أَضَأْتِ
أضاء	V;2;ACT;FEM;JUS;PL	تُضِئْنَ
أضاء	V;2;ACT;FEM;JUS;SG	تُضِيئِي
أضاء	V;2;ACT;FEM;PL;SBJV	تُضِئْنَ
أضاء	V;2;ACT;FEM;SBJV;SG	تُضِيئِي
أضاء	V;2;ACT;IMP;MASC;SG	أَضِئْ
أضاء	V;2;ACT;IND;IPFV;MASC;PL	tuḍīʔūna
أضاء	V;2;ACT;IND;MASC;PL;PRF;PST	أَضَأْتُمْ
أضاء	V;2;ACT;IND;MASC;PRF;PST;SG	أَضَأْتَ
أضاء	V;2;ACT;JUS;MASC;SG	تُضِئْ
أضاء	V;2;FEM;IND;IPFV;PASS;PL	تُضَأْنَ
أضاء	V;2;FEM;IND;IPFV;PASS;SG	تُضَائِينَ
أضاء	V;2;FEM;IND;PASS;PL;PRF;PST	أُضِئْتُنَّ
أضاء	V;2;FEM;IND;PASS;PRF;PST;SG	أُضِئْتِ
أضاء	V;2;FEM;JUS;PASS;PL	تُضَأْنَ
أضاء	V;2;FEM;JUS;PASS;SG	تُضَائِي
أضاء	V;2;FEM;PASS;PL;SBJV	تُضَأْنَ
أضاء	V;2;FEM;PASS;SBJV;SG	تُضَائِي
أضاء	V;2;IND;IPFV;MASC;PASS;PL	tuḍāʔūna
أضاء	V;2;IND;MASC;PASS;PL;PRF;PST	أُضِئْتُمْ
أضاء	V;2;IND;MASC;PASS;PRF;PST;SG	أُضِئْتَ
أضاء	V;2;JUS;MASC;PASS;SG	تُضَأْ
أضاء	V;3;ACT;DU;FEM;IND;IPFV	تُضِيئَانِ
أضاء	V;3;ACT;DU;FEM;JUS	تُضِيئَا
أضاء	V;3;ACT;DU;FEM;SBJV	تُضِيئَا
أضاء	V;3;ACT;DU;IND;IPFV;MASC	يُضِيئَانِ
أضاء	V;3;ACT;DU;JUS;MASC	يُضِيئَا
أضاء	V;3;ACT;DU;MASC;SBJV	يُضِيئَا
أضاء	V;3;ACT;FEM;IND;IPFV;PL	يُضِئْنَ
أضاء	V;3;ACT;FEM;IND;PL;PRF;PST	أَضَأْنَ
أضاء	V;3;ACT;FEM;JUS;PL	يُضِئْنَ
أضاء	V;3;ACT;FEM;JUS;SG	تُضِئْ
أضاء	V;3;ACT;FEM;PL;SBJV	يُضِئْنَ
أضاء	V;3;ACT;IND;IPFV;MASC;PL	yuḍīʔūna
أضاء	V;3;ACT;IND;MASC;PL;PRF;PST	ʔaḍāʔū
أضاء	V;3;ACT;JUS;MASC;SG	يُضِئْ
أضاء	V;3;DU;FEM;IND;PASS;PRF;PST	أُضِيئَتَا
أضاء	V;3;DU;IND;MASC;PASS;PRF;PST	أُضِيئَا
أضاء	V;3;FEM;IND;IPFV;PASS;PL	يُضَأْنَ
أضاء	V;3;FEM;IND;PASS;PL;PRF;PST	أُضِئْنَ
أضاء	V;3;FEM;IND;PASS;PRF;PST;SG	أُضِيئَتْ
أضاء	V;3;FEM;JUS;PASS;PL	يُضَأْنَ
أضاء	V;3;FEM;JUS;PASS;SG	تُضَأْ
أضاء	V;3;FEM;PASS;PL;SBJV	يُضَأْنَ
أضاء	V;3;IND;IPFV;MASC;PASS;PL	yuḍāʔūna
أضاء	V;3;IND;MASC;PASS;PL;PRF;PST	ʔuḍīʔū
أضاء	V;3;JUS;MASC;PASS;SG	يُضَأْ
ألمن	V;2;ACT;FEM;IMP;PL	أَلْمِنَّ
ألمن	V;2;ACT;FEM;IMP;SG	أَلْمِنِي
ألمن	V;2;ACT;IMP;MASC;SG	أَلْمِنْ
أمرك	V;2;ACT;FEM;IMP;PL	أَمْرِكْنَ
أمرك	V;2;ACT;FEM;IMP;SG	أَمْرِكِي
أمرك	V;2;ACT;IMP;MASC;SG	أَمْرِكْ
أودع	V;2;ACT;FEM;IMP;PL	أَوْدِعْنَ
أودع	V;2;ACT;FEM;IMP;SG	أَوْدِعِي
أودع	V;2;ACT;IMP;MASC;SG	أَوْدِعْ
أوى	V;1;ACT;IND;IPFV;PL	نَأْوِي
أوى	V;1;ACT;IND;IPFV;SG	آوِي
أوى	V;1;ACT;IND;PL;PRF;PST	أَوَيْنَا
أوى	V;1;ACT;IND;PRF;PST;SG	أَوَيْتُ
أوى	V;1;ACT;JUS;PL	نَأْوِ
أوى	V;1;ACT;JUS;SG	آوِ
أوى	V;1;IND;IPFV;PASS;PL	نُؤَوَّى
أوى	V;1;IND;IPFV;PASS;SG	أُؤَوَّى
أوى	V;1;IND;PASS;PL;PRF;PST	أُوِينَا
أوى	V;1;IND;PASS;PRF;PST;SG	أُوِيتُ
أوى	V;1;JUS;PASS;PL	نُؤَوَّ
أوى	V;1;JUS;PASS;SG	أُؤَوَّ
أوى	V;1;PASS;PL;SBJV	نُؤَوَّى
أوى	V;1;PASS;SBJV;SG	أُؤَوَّى
أوى	V;2;ACT;FEM;IND;IPFV;PL	تَأْوِينَ
أوى	V;2;ACT;FEM;IND;IPFV;SG	تَأْوِينَ
أوى	V;2;ACT;FEM;IND;PL;PRF;PST	أَوَيْتُنَّ
أوى	V;2;ACT;FEM;IND;PRF;PST;SG	أَوَيْتِ
أوى	V;2;ACT;FEM;JUS;PL	تَأْوِينَ
أوى	V;2;ACT;FEM;JUS;SG	تَأْوِي
أوى	V;2;ACT;FEM;PL;SBJV	تَأْوِينَ
أوى	V;2;ACT;FEM;SBJV;SG	تَأْوِي
أوى	V;2;ACT;IND;IPFV;MASC;PL	تَأْوُونَ
أوى	V;2;ACT;IND;IPFV;MASC;SG	تَأْوِي
أوى	V;2;ACT;IND;MASC;PL;PRF;PST	أَوَيْتُمْ
أوى	V;2;ACT;IND;MASC;PRF;PST;SG	أَوَيْتَ
أوى	V;2;ACT;JUS;MASC;PL	تَأْوُوا
أوى	V;2;ACT;JUS;MASC;SG	تَأْوِ
أوى	V;2;ACT;MASC;PL;SBJV	تَأْوُوا
أوى	V;2;FEM;IND;IPFV;PASS;PL	تُؤَوَّيْنَ
أوى	V;2;FEM;IND;IPFV;PASS;SG	تُؤَوَّيْنَ
أوى	V;2;FEM;IND;PASS;PL;PRF;PST	أُوِيتُنَّ
أوى	V;2;FEM;IND;PASS;PRF;PST;SG	أُوِيتِ
أوى	V;2;FEM;JUS;PASS;PL	تُؤَوَّيْنَ
أوى	V;2;FEM;JUS;PASS;SG	تُؤَوَّيْ
أوى	V;2;FEM;PASS;PL;SBJV	تُؤَوَّيْنَ
أوى	V;2;FEM;PASS;SBJV;SG	تُؤَوَّيْ
أوى	V;2;IND;IPFV;MASC;PASS;PL	تُؤَوَّوْنَ
أوى	V;2;IND;IPFV;MASC;PASS;SG	تُؤَوَّى
أوى	V;2;IND;MASC;PASS;PL;PRF;PST	أُوِيتُمْ
أوى	V;2;IND;MASC;PASS;PRF;PST;SG	أُوِيتَ
أوى	V;2;JUS;MASC;PASS;PL	تُؤَوَّوْا
أوى	V;2;JUS;MASC;PASS;SG	تُؤَوَّ
أوى	V;2;MASC;PASS;PL;SBJV	تُؤَوَّوْا
أوى	V;2;MASC;PASS;SBJV;SG	تُؤَوَّى
أوى	V;3;ACT;DU;FEM;IND;PRF;PST	أَوَتَا
