# Oracle-vs-oracle disagreements for Armenian, ruled on so the golden
# harness can report them as resolved. o1 is the uniparser grammar
# (data/hye/uniparser.tsv), o2 is UniMorph hye (data/hye/unimorph.tsv).
# Resolutions:
#   variant = both forms are standard (register, archaism, doublet)
#   o1 / o2 = that oracle is right, the other is a data error
#   neither = both wrong
# The ruling also drives the engine: scripts/hye/mine_verbs.py reads
# this file, so a slot ruled o1/o2 is mined from that oracle into
# data/hye/verbs.tsv instead of being left to the rule.
# lemma	features	ruling	note
բառնալ	V;CAUS	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;1;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;1;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;2;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;2;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;3;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;PL;3;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;1;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;1;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;2;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;2;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;3;NEG;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
բառնալ	V;IND;SG;3;PST	variant	archaic 'lift': the vocalic aorist բարձա beside the regularized բարձեցի, both on the suppletive stem բարձ-; the engine takes the regularized form
