# lemma	features	resolution	note
# resolution: variant | o1 (apertium-mkd) | o2 (UniMorph mkd) | neither.
# Bucketed rulings; see docs/mkd/oracles.md for the systematic patterns.
апси	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
бере	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
благословува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
боледува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
бојкотира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
брани	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
брише	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
брише	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
брои	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
брои	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
брои	V;PRS;1;SG	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
брои	V;PRS;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
бунтува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
важи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вдишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вежба	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вели	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
верува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
ветува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
види	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
види	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
види	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
види	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
вклучува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
владее	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
влегува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
влезе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
влече	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
влијае	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вложува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
влошува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вметнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вмешува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
воведува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
води	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вознемирува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
воодушевува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
воспитува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
