# Adjudication log: every disagreement between ablaut and a gold source is
# ruled on here, with a reference. The golden harness treats a mismatch with
# ruling "ours" or "both" as adjudicated-correct and reports it separately.
#
# Rulings: ours = gold is wrong, ablaut's form is the standard one.
#          both = both forms are standard; gold lists only a variant.
#
# lemma	features	ruling	note
essen	V;IND;SG;2;PST	both	Sibilant-stem preterite 2sg takes -est (du aßest, Duden); UniMorph lists only aßt
fließen	V;IND;SG;2;PST	both	du flossest / du flosst both standard; UniMorph lists only flosst
heißen	V;IND;SG;2;PST	both	du hießest / du hießt both standard; UniMorph lists only hießt
lassen	V;IND;SG;2;PST	both	du ließest / du ließt both standard; UniMorph lists only ließt
lesen	V;IND;SG;2;PST	both	du lasest is the canonical form (Duden); UniMorph lists only last
sitzen	V;IND;SG;2;PST	both	du saßest / du saßt both standard; UniMorph lists only saßt
stoßen	V;IND;SG;2;PST	both	du stießest / du stießt both standard; UniMorph lists only stießt
vergessen	V;IND;SG;2;PST	both	du vergaßest / du vergaßt both standard; UniMorph lists only vergaßt
schließen	V;IND;SG;2;PST	both	du schlossest is standard alongside schlosset/schlosst; UniMorph set lacks it
wachsen	V;IND;SG;2;PST	both	Strong wachsen: du wuchsest / du wuchst; UniMorph merges the weak homograph (wachstest, to wax)
nennen	V;SBJV;SG;1;PST	ours	Konjunktiv II of nennen is nennte (Duden; cf. kennte, brennte); UniMorph repeats the indicative nannte
nennen	V;SBJV;SG;2;PST	ours	See nennen SBJV;SG;1;PST
nennen	V;SBJV;SG;3;PST	ours	See nennen SBJV;SG;1;PST
nennen	V;SBJV;PL;1;PST	ours	See nennen SBJV;SG;1;PST
nennen	V;SBJV;PL;2;PST	ours	See nennen SBJV;SG;1;PST
nennen	V;SBJV;PL;3;PST	ours	See nennen SBJV;SG;1;PST
wissen	V;IMP;SG;2	ours	wisse! exists (Duden: wisse, dass...); UniMorph marks the imperative nonexistent
wissen	V;IMP;PL;2	ours	wisst! exists; UniMorph marks the imperative nonexistent
wachen	V;AUX	ours	wachen takes haben (ich habe gewacht, Duden); kaikki/Wiktionary lists sein
entgelten	*	ours	entgelten is strong (entgalt, entgolten, Duden); gold gives weak entgeltete forms
reinwaschen	*	ours	Strong waschen base (wusch rein, reingewaschen); gold lists weak waschte forms only
wegbegeben	*	ours	Conjugates like geben (begibst weg, wegbegeben); gold lists weak begebst/wegbegebt forms
umfassen	V;NFIN;LGSPEC01	both	zu umfassen is correct for the inseparable sense; gold lists only umzufassen
übergehen	V;NFIN;LGSPEC01	both	zu übergehen is correct for the inseparable sense (skip); gold lists only überzugehen
liegenlassen	V.PTCP;PST	both	liegengelassen and liegenlassen (Ersatzinfinitiv-style) are both standard; gold lists only the short form
kahlscheren	*	ours	kahlscheren builds on scheren (schert kahl, kahlgeschoren); gold derives it from a verb schieren
gegenchecken	V;IMP;SG;2	ours	Imperative gegencheck! follows the fused paradigm; gold splits only here, inconsistently with its own finite forms
